Back;Table 7. Planetary pressures-adjusted Human Development Index;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;SDG9.4;;;;SDG8.4, 12.2;;;;;;;;;;;;
;Carbon dioxide emissions per capita (production): Carbon dioxide emissions produced as a consequence of human activities (use of coal, oil and gas for combustion and industrial processes, gas flaring and cement manufacture), divided by midyear population. Values are territorial emissions, meaning that emissions are attributed to the country in which they physically occur.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Carbon dioxide emissions (production) index: Carbon dioxide emissions per capita (production-based) expressed as an index with a minimum value of 0 and a maximum value of 68.72 tonnes per capita. A high value implies less pressure on the planet.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Material footprint per capita: The attribution of global material extraction to domestic final demand of a country, divided by midyear population. Total material footprint is the sum of material footprint for biomass, fossil fuels, metal ores and nonmetal ores, calculated as the raw material equivalent of imports plus domestic extraction minus raw material equivalents of exports. Material footprint per capita describes the average material use for final demand.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Material footprint index: Material footprint per capita expressed as an index with a minimum value of 0 and a maximum value of 107.42 tonnes per capita. A high value implies less pressure on the planet.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Main data sources;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 1: HDRO calculations based on data from Barro and Lee (2018), IMF (2022), UNDESA (2022a), UNESCO Institute for Statistics (2022), United Nations Statistics Division (2022) and World Bank (2022).;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 2: Calculated as the product of the HDI and the adjustment factor presented in column 5.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 3: Calculated based on data in columns 1 and 2.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 4: Calculated based on PHDI values and recalculated HDI ranks for countries for which a PHDI value is calculated.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 5: Calculated based on data in columns 7 and 9.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 6: Global Carbon Project (2022).;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 7: Calculated based on data in column 6.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 8: United Nations Environment Programme (2022).;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Column 9: Calculated based on data in column 8.;;;;;;;;;;;;;;;;;;;;;;;;;;;
